导出, SHELL32.dll
序列	地址	名字
000001CB	830C5484
000001CC	0298E90C
000001CD	92CDF685
000001CE	85CEFF7D
000001CF	FAD33EC0
000001D0	7E6541F6
000001D1	964581EC
000001D2	7D641750
000001D3	F3580C75
000001D4	7F09B339
000001D5	6F415700
000001D6	919C8B14
000001D7	FAC2E401
000001D8	E9DC9090
000001D9	0AFEA5A5
000001DA	7D64D82C
000001DB	F3580C75
000001DC	7F09B339
000001DD	6F415700
000001DE	919C8B14
000001DF	FAC2E401
000001E0	E9DC9090
000001E1	0AFEA5A5
000001E2	F31985FF
000001E3	830C5484
000001E4	0298E90C
000001E5	01680000
000001E6	F74F8C1D
000001E7	06D679F8
000001E8	7D9D00CF
000001E9	7D581CD3
000001EA	830C5484
000001EB	0298E90C
000001EC	01680000
000001ED	F74F8C1D
000001EE	0E1C5900
000001EF	D35A1045
000001F0	7D685AA8
000001F1	F3580C75
000001F2	7F09B339
000001F3	69E455FF
000001F4	F358FFFF
000001F5	F74F8C1D
000001F6	7D590306
000001F7	7D693668
000001F8	0A90FF7D
000001F9	830C5484
000001FA	0298E90C
000001FB	28D67A1A
000001FC	BDE30D74
000001FD	7D59008C
000001FE	F74F8C1D
000001FF	7D590306
00000200	7D693668
00000201	0A90FF7D
00000202	830C5484
00000203	0E58FFFC
00000204	06D679F6
00000205	1E898900
00000206	08AEFF8B
00000207	7C590001
00000208	7D9C003D
00000209	7DC80077
0000020A	830C5484
0000020B	0E58FFFC
0000020C	FA1985FF
0000020D	FAB285BC
0000020E	D0D6591D
0000020F	01DD0FFF
00000210	7D590415
00000211	7D5AA0BE
00000212	B05904C2
00000213	830C5484
00000214	0E58FFFC
00000215	FA1985FF
00000216	E559C708
00000217	7142FFFE
00000218	7C49858B
00000219	E56575FF
0000021A	830C5484
0000021B	0E58FFFC
0000021C	FAC7EF9F
0000021D	FAB2C1E8
0000021E	8D68E8EC
0000021F	7D641750
00000220	4E5002E0
00000221	C4EDA190
00000222	81C35056
00000223	8199EC81
00000224	E9DC9090
00000225	F77630BF
00000226	7142FFFE
00000227	7D581CD3
00000228	7D5FA305
00000229	4E5002E0
0000022A	8CD67A09
0000022B	D4458B55
0000022C	81C35056
0000022D	8199EC81
0000022E	E9DC9090
0000022F	F77630BF
00000230	7142FFFE
00000231	7D581CD3
00000232	7D5FA305
00000233	085901E8
00000234	FAC2E401
00000235	E5ABFFFF
00000236	75191BD8
00000237	6542FFFE
00000238	A1C58390
00000239	0DE99090
0000023A	7CA9F18B
0000023B	FAB2C1E8
0000023C	7D5CF254
0000023D	085901E8
0000023E	FAC2E401
0000023F	E5ABFFFF
00000240	75191BD8
00000241	6542FFFE
00000242	A1C58390
00000243	0DE99090
00000244	7CA9F18B
00000245	FAB2C1E8
00000246	7D5C70A3
00000247	6F415700
00000248	919C8B14
00000249	D458FF10
0000024A	B5580000
0000024B	01458B55
0000024C	7D5B7FFD
0000024D	CFDD0FC3
0000024E	7D5C28E9
0000024F	6F415700
00000250	919C8B14
00000251	7D5B7FFD
00000252	D69E8868
00000253	9ADE0F04
00000254	830C5484
00000255	F74F8C1D
00000256	B5C17D7A
00000257	66690424
00000258	F3580845
00000259	7D5B7FFD
0000025A	CFDD0FC3
0000025B	830C5484
0000025C	F74F8C1D
0000025D	B5C17D7A
0000025E	66690424
0000025F	F3580845
00000260	7D5B7FFD
00000261	CFDD0FC3
00000262	7D5CF254
00000263	6F415700
00000264	919C8B14
00000265	91A68B00
00000266	7142FFFE
00000267	D3D679F5
00000268	D6AB3868
00000269	DC1F8B00
0000026A	D461758B
0000026B	7D5C70A3
0000026C	6F415700
0000026D	919C8B14
0000026E	91A68B00
0000026F	7142FFFE
00000270	D3D679F5
00000271	D6AB3868
00000272	5EF97D7A
00000273	830C5484
00000274	F74F8C1D
00000275	B5C17D7A
00000276	66690424
00000277	F3580845
00000278	8A1B5D10
00000279	44D65998
0000027A	7D5D646B
0000027B	6F415700
0000027C	81A79E85
0000027D	28D67A3C
0000027E	085C8B00
0000027F	7D685AA8
00000280	DB590496
00000281	1E590002
00000282	E1947765
00000283	6B415B5E
00000284	F762883D
00000285	0DE99090
00000286	7D642428
00000287	0271468B
00000288	8119B70F
00000289	CE585753
